,No.,Name,Yr.,Ht.,Wt.,DOB,Hometown,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,School
,22,"Schuldt, John",Sr,6-4,216,2/10/1997,"Minnetonka, Minn.",Defensemen,76,,,,Omaha,NCHC,St-Thomas
,5,"Weis, Vincent",So,5-8,175,6/4/1999,"Madison, Wis.",Defensemen,68,,,,Madison,USHL,St-Thomas
,2,"Zins, Trevor",Jr,6-2,195,7/23/1998,"St. Michael, Minn.",Defensemen,74,,,,St. Cloud State,NCHC,St-Thomas
,27,"Grundy, Kyler",Fr,6-1,190,4/19/2000,"Pleasant Prairie, Wis.",Forwards,73,,,,Green Bay,USHL,St-Thomas
,9,"Jennings, Matthew",Sr,5-8,173,6/7/1997,"Buford, Ga.",Forwards,68,,,,Ohio State,Big10,St-Thomas
,10,"Kangas, Andrew",Jr,5-9,185,1/28/1998,"Mahtomedi, Minn.",Forwards,69,,,,Minot,NAHL,St-Thomas
,19,"Kelley, Justin",Jr,6-0,185,8/23/1998,"Maple Grove, Minn.",Forwards,72,,,,Minot,NAHL,St-Thomas
,15,"Loven, Grant",Sr,5-11,190,12/21/1997,"East Grand Forks, Minn.",Forwards,71,,,,St. Thomas,CCHA,St-Thomas
,16,"Manning, Luke",Jr,5-10,190,4/13/1999,"Stillwater, Minn.",Forwards,70,,,,Air Force,AHA,St-Thomas
,11,"McGregor, Lucas",So,5-11,170,9/8/1999,"Lino Lakes, Minn.",Forwards,71,,,,Sioux Falls,USHL,St-Thomas
,24,"Ommen, Logan",So,5-9,175,7/25/1999,"Bolingbrook, Ill.",Forwards,69,,,,Corpus Christi,NAHL,St-Thomas
,12,"Piechowski, Tim",Fr,6-2,210,12/8/2000,"Eden Prairie, Minn.",Forwards,74,,,,Bismarck,NAHL,St-Thomas
,8,"Recchi, Cameron",Fr,5-10,165,5/24/2001,"Pittsburgh, Pa.",Forwards,70,,,,Salmon Arm,BCHL,St-Thomas
,39,"Renlund, Sam",Fr,5-11,190,4/4/2000,"Verona, Wis.",Forwards,71,,,,Des Moines,USHL,St-Thomas
,17,"Schmid, Paul",Fr,6-1,187,6/10/2000,"Linz, Austria",Forwards,73,,,,Amarillo,NAHL,St-Thomas
,21,"Sofo, Joey",Sr,5-10,185,8/7/1996,"Sylvania, Ohio",Forwards,70,,,,Alaska-Anchorage,WCHA,St-Thomas
,20,"Swanson, Aaron",So,5-10,180,5/10/1999,"Sun Prairie, Wis.",Forwards,70,,,,Maryland,NAHL,St-Thomas
,29,"Versich, Christiano",Jr,5-8,170,1/2/1997,"St. Paul, Minn.",Forwards,68,,,,Colorado College,NCHC,St-Thomas
,26,"Warnert, Blaine",Fr,6-5,190,7/17/2000,"Chaska, Minn.",Forwards,77,,,,Minot,NAHL,St-Thomas
,35,"Baribeau, Henry",Jr,6-3,190,10/15/1998,"Hudson, Wis.",Goaltenders,75,,,,New Ulm,NA3HL,St-Thomas
,31,"Berger, Jacob",Sr,5-11,165,7/1/1997,"Minnetonka, Minn.",Goaltenders,71,,,,Merritt,BCHL,St-Thomas
,1,"Thome, Peter",Sr,6-4,198,5/24/1997,"Minneapolis, Minn.",Goaltenders,76,2016,CLB,6,North Dakota,NCHC,St-Thomas
,2,"Farrell, Thomas",Jr,6-1,200,1/18/1999,"Mettawa, Ill.",Defensemen,73,,,,Youngstown,USHL,Army
,17,"Firriolo, Anthony",Jr,5-11,165,7/3/1998,"Montville, N.J.",Defensemen,71,,,,Corpus Christi,NAHL,Army
,24,"Garby, Andrew",Fr,5-9,160,9/17/2000,"Canton, Mich.",Defensemen,69,,,,Fairbanks,NAHL,Army
,7,"Gilbert, Andrew",Fr,6-5,210,5/2/2000,"Fairfield, Conn.",Defensemen,77,,,,New Jersey,NCDC,Army
,4,"Mack, Coby",Sr,6-3,220,10/7/1997,"Rapid City, S.D.",Defensemen,75,,,,Northern,USPHL,Army
,20,"Medeiros, Brody",So,6-0,195,1/25/1999,"Littleton, Colo.",Defensemen,72,,,,New Jersey,NAHL,Army
,15,"Plunkett, Marshal",Sr,5-11,175,10/31/1998,"West Salem, Wis.",Defensemen,71,,,,Coulee Region,NAHL,Army
,5,"Quetell, Andrew",Sr,5-11,185,6/21/1998,"Cleveland, Ohio",Defensemen,71,,,,Johnstown,NAHL,Army
,22,"Wilson, Noah",Jr,6-0,195,12/21/1998,"Fond du Lac, Wis.",Defensemen,72,,,,Fairbanks,NAHL,Army
,3,"Zona, Brad",Fr,6-1,205,8/1/2000,"Auburn, Mass.",Defensemen,73,,,,New Jersey,NAHL,Army
,19,"Abdelnour, Brett",Jr,5-9,170,10/23/1998,"Macomb, Mich.",Forwards,69,,,,Amarillo,NAHL,Army
,23,"Baez, Joey",Fr,5-9,175,1/12/2000,"Tampa, Fla.",Forwards,69,,,,Lonestar,NAHL,Army
,6,"Bilek, Colin (C)",Sr,5-11,195,6/4/1997,"Brighton, Mich.",Forwards,71,,,,Northeast,NAHL,Army
,21,"Bohlin, Josh",Fr,6-1,190,2/10/2000,"Wausau, Wis.",Forwards,73,,,,Minnesota,NAHL,Army
,16,"Butte, Eric",Sr,6-1,190,5/28/1997,"Belmont, Mass.",Forwards,73,,,,Langley,BCHL,Army
,10,"Felker, Jake",So,5-11,190,3/19/2000,"Omaha, Neb.",Forwards,71,,,,Youngstown,USHL,Army
,28,"Frost, Kendrick",Jr,6-4,200,4/1/1999,"Lee's Summit, Mont.",Forwards,76,,,,Brookings,NAHL,Army
,9,"Haider, Daniel",Sr,5-9,175,12/19/1997,"Anchorage, Alaska",Forwards,69,,,,Fairbanks,NAHL,Army
,11,"Hatten, Lincoln",So,6-3,185,3/1/2000,"Allen, Texas",Forwards,75,,,,Wilkes-Barre Scranton,NAHL,Army
,29,"Huss, Eric",So,5-10,175,3/16/1999,"Dallas, Texas",Forwards,70,,,,Lone Star,NAHL,Army
,12,"Keranen, John",Jr,6-2,190,8/31/1998,"Delano, Minn.",Forwards,74,,,,Minnesota,NAHL,Army
,27,"Konin, Chris",So,6-1,185,1/4/2000,"Clearwater, Fla.",Forwards,73,,,,Minnesota,NAHL,Army
,8,"Lyle, Ricky",So,6-1,190,8/21/2000,"Duluth, Minn.",Forwards,73,,,,Madison,USHL,Army
,26,"Machlitt, Mitch",So,6-2,190,1/15/1999,"Robbinsdale, Minn.",Forwards,74,,,,New Jersey,NAHL,Army
,14,"McCoy, Hunter",Fr,6-0,195,8/1/2000,"Newburyport, Mass.",Forwards,72,,,,Maryland,NAHL,Army
,13,"Sacco, Michael",Fr,5-8,175,11/16/1999,"Syosset, N.Y.",Forwards,68,,,,Wilkes-Barre/Scranton,NAHL,Army
,25,"Smyth, Patrick",Jr,6-4,215,4/23/1999,"Toledo, Ohio",Forwards,76,,,,Dubuque,USHL,Army
,1,"Abric, Gavin",So,6-3,170,1/11/2001,"Hayward, Wis.",Goaltenders,75,,,,New Jersey,USPHL,Army
,34,"Evenson, Justin",Jr,6-1,175,8/20/1999,"Minnetonka, Minn.",Goaltenders,73,,,,Amarillo,NAHL,Army
,31,"Szary, Evan",Fr,5-11,175,2/29/2000,"Nashville, Tenn.",Goaltenders,71,,,,South Shore,NCDC,Army
,4,"Ceulemans, Corson",Fr,6-2,196,5/5/2003,"Regina, Sask.",Defensemen,74,2021,CBJ,1,Brooks,AJHL,Wisconsin
,28,"Donovan, Shay",Jr,6-3,195,5/26/1998,"Duluth, Minn.",Defensemen,75,,,,Wisconsin,B10,Wisconsin
,20,"Ess, Josh",Sr,5-11,187,4/3/1999,"Lakeville, Minn.",Defensemen,71,2017,CHI,7,Lakeville South,USHS,Wisconsin
,5,"Inamoto, Tyler",Sr,6-2,202,5/6/1999,"Barrington, Ill.",Defensemen,74,2017,FLA,5,USA U-18 Team,NTDP,Wisconsin
,24,"Kehrer, Anthony",So,5-11,210,3/4/2002,"Winnipeg, Man.",Defensemen,71,,,,Sioux City,USHL,Wisconsin
,2,"Laatsch, Daniel",Fr,6-5,190,2/13/2002,"Altoona, Wis.",Defensemen,77,2021,PIT,7,Sioux City,USHL,Wisconsin
,26,"LaMaster, Luke",So,6-0,197,10/17/1999,"Duluth, Minn.",Defensemen,72,,,,Sioux City,USHL,Wisconsin
,17,"Martin, Jake",Fr,6-0,193,3/18/2003,"White Bear Lake, Minn.",Defensemen,72,,,,Green Bay,USHL,Wisconsin
,14,"Peltonen, Jesper",Sr,5-10,185,6/8/1998,"Helsinki, Finland",Defensemen,70,,,,Omaha,USHL,Wisconsin
,7,"Vorlicky, Mike",Jr,6-1,203,7/17/2000,"Edina, Minn.",Defensemen,73,,,,Edina,USHS,Wisconsin
,13,"Ahcan, Roman",Sr,5-9,181,3/24/1999,"Savage, Minn.",Forwards,69,,,,Cedar Rapids,USHL,Wisconsin
,16,"Baker, Tarek",Sr,5-10,190,5/25/1997,"Verona, Wis.",Forwards,70,,,,Bloomington,USHL,Wisconsin
,21,"Bantle, Carson",So,6-5,207,1/22/2002,"Onalaska, Wis.",Forwards,77,2020,ARI,5,Michigan Tech,WCHA,Wisconsin
,27,"Brown, Caden",Fr,5-11,177,6/22/2003,"Chesterfield, Mo.",Forwards,71,,,,Wisconsin,B10,Wisconsin
,19,"Caufield, Brock",Sr,5-9,181,3/9/1999,"Mosinee, Wis.",Forwards,69,,,,Green Bay,USHL,Wisconsin
,12,"De St. Phalle, Mathieu",So,5-9,170,3/20/2000,"Greenwich, Conn.",Forwards,69,,,,Chicago,USHL,Wisconsin
,22,"Donovan, Ryder",Jr,6-3,203,10/4/2000,"Duluth, Minn.",Forwards,75,2019,VGK,4,Wisconsin,B10,Wisconsin
,11,"Gorniak, Jack",Sr,5-11,190,9/15/1999,"West Salem, Wis.",Forwards,71,2018,MTL,4,West Salem/Banger,USHS,Wisconsin
,8,"Johnson, Max",Sr,5-10,200,5/12/1998,"Lakeville, Minn.",Forwards,70,,,,Bowling Green,WCHA,Wisconsin
,18,"Lindmark, Owen",Jr,6-0,195,5/17/2001,"Naperville, Ill.",Forwards,72,2019,FLA,5,USA U-18 Team,NTDP,Wisconsin
,23,"Malmquist, Liam",Fr,5-10,165,10/8/2000,"Edina, Minn.",Forwards,70,,,,Wisconsin,B10,Wisconsin
,25,"Mersch, Dominick",Sr,6-0,191,12/16/1998,"Park Ridge, Ill.",Forwards,72,,,,Lincoln,USHL,Wisconsin
,9,"Morrison, Brayden",Fr,6-0,170,5/4/2002,"Calgary, Alb.",Forwards,72,,,,Wisconsin,B10,Wisconsin
,3,"Stange, Sam",So,6-1,200,4/20/2001,"Eau Claire, Wis.",Forwards,73,2020,DET,4,Sioux Falls,USHL,Wisconsin
,6,"Urdahl, Zach",Fr,6-1,195,10/13/2001,"Eau Claire, Wis.",Forwards,73,,,,Wisconsin,B10,Wisconsin
,29,"Garrity, Ben",So,6-2,193,1/20/2000,"Rosemount, Minn.",Goaltenders,74,,,,Minot,NAHL,Wisconsin
,35,"Moe, Jared",Jr,6-4,220,7/22/1999,"New Prague, Minn.",Goaltenders,76,2018,WPG,6,Minnesota,B10,Wisconsin
,31,"Rowe, Cameron",So,6-3,218,6/1/2001,"Wilmette, Ill.",Goaltenders,75,,,,Des Moines,USHL,Wisconsin
,10,"Eriksson, Kalle",Jr,5-10,178,9/15/1999,"Leksand, Sweden",Defensemen,70,,,,Madison,USHL,New-Hampshire
,28,"Gagne, Alex",Fr,6-4,207,8/12/2002,"Bedford, N.H.",Defensemen,76,2021,TBL,6,Muskegon,USHL,New-Hampshire
,2,"Hickey, Drew",Sr,5-11,188,10/28/1997,"New Canaan, Conn.",Defensemen,71,,,,Conn. Jr. Rangers,USPHL,New-Hampshire
,20,"Huard, Colton",Fr,6-3,200,11/27/2000,"Welland, Ont.",Defensemen,75,,,,Chicago,USHL,New-Hampshire
,8,"Jenson, Nikolai",So,5-11,193,7/28/2000,"Cold Spring, Minn.",Defensemen,71,,,,Youngstown,USHL,New-Hampshire
,5,"MacKinnon, Will",Sr,5-11,202,4/13/2000,"Plymouth, Mich.",Defensemen,71,,,,Des Moines,USHL,New-Hampshire
,27,"Reid, Luke",So,6-0,192,9/26/2001,"Warman, Sask.",Defensemen,72,2020,NSH,6,Chicago,USHL,New-Hampshire
,7,"Semandel, Alec",Sr,6-3,206,5/23/1998,"Waunakee, Wis.",Defensemen,75,,,,Lake Superior St.,WCHA,New-Hampshire
,3,"Verrier, Ryan",Sr,6-0,193,11/19/1998,"Reading, Mass.",Defensemen,72,,,,Green Bay,USHL,New-Hampshire
,18,"Blaisdell, Harrison",Jr,5-11,190,3/18/2001,"Regina, Sask.",Forwards,71,2019,WPG,5,North Dakota,NCHC,New-Hampshire
,13,"Cafarelli, Nick",So,5-10,182,12/31/2001,"Middleton, Mass.",Forwards,70,,,,Wenatchee,BCHL,New-Hampshire
,29,"Cipollone, Joseph",Sr,5-8,180,3/29/1997,"Purchase, N.Y.",Forwards,68,,,,Boston Jr. Bruins,,New-Hampshire
,24,"Cronin, Robert",Fr,5-10,187,8/15/2000,"Plymouth, Mass.",Forwards,70,,,,Dubuque,USHL,New-Hampshire
,26,"Devlin, Liam",Fr,5-11,192,1/7/2001,"Needham, Mass.",Forwards,71,,,,Omaha,USHL,New-Hampshire
,16,"Engaras, Filip",Sr,6-0,199,5/16/1999,"Stockholm, Sweden",Forwards,72,2020,EDM,6,Skellefteå AIK,Europe,New-Hampshire
,12,"Esposito, Eric",Sr,5-11,186,8/24/1998,"West Haven, Conn.",Forwards,71,,,,New Hampshire,HEA,New-Hampshire
,21,"Gendron, Cam",So,6-3,181,2/5/1999,"Hampstead, N.H.",Forwards,75,,,,New Jersey,NAHL,New-Hampshire
,22,"Hankinson, Joe",Jr,6-0,194,6/15/1999,"Edina, Minn.",Forwards,72,,,,Cedar Rapids,USHL,New-Hampshire
,6,"Herrmann, Lucas",Jr,6-2,210,8/1/2000,"Lancaster, N.Y.",Forwards,74,,,,Madison,USHL,New-Hampshire
,19,"MacAdams, Eric",Gr,5-11,187,4/29/1997,"Salem, Mass.",Forwards,71,,,,Sioux Falls,USHL,New-Hampshire
,25,"Margel, Will",Fr,5-9,165,3/16/2001,"Potomac, Md.",Forwards,69,,,,Johnstown,NAHL,New-Hampshire
,11,"Pierson, Jackson",Sr,5-9,171,9/10/1999,"Zionsville, Ind.",Forwards,69,,,,New Hampshire,HEA,New-Hampshire
,17,"Richels, Carsen",So,6-3,220,10/3/2001,"Ham Lake, Minn.",Forwards,75,,,,Blaine H.S.,USHS,New-Hampshire
,15,"Stevenson, Chase",Jr,5-11,180,1/13/1999,"West Kelowna, B.C.",Forwards,71,,,,New Hampshire,HEA,New-Hampshire
,9,"Sweeney, Connor",Fr,6-2,200,5/5/2000,"North Andover, Mass.",Forwards,74,,,,Islanders Hockey Club,NCDC,New-Hampshire
,14,"Ward, Tyler",Sr,5-10,186,8/19/1999,"Kamloops, B.C.",Forwards,70,,,,Denver,NCHC,New-Hampshire
,41,"Fessenden, David",Sr,6-6,230,4/30/1998,"Parker, Colo.",Goaltenders,78,,,,New Hampshire,HEA,New-Hampshire
,1,"Forman, Jeremy",So,5-10,150,9/22/1999,"Northbrook, Ill.",Goaltenders,70,,,,Corpus Christi,NAHL,New-Hampshire
,35,"Gaughan, Raphael",Fr,6-1,185,2/11/2000,"Somersworth, N.H.",Goaltenders,73,,,,Northeast,NA3NHL,New-Hampshire
,31,"Robinson, Mike",Gr,6-4,202,3/27/1997,"Bedford, N.H.",Goaltenders,76,2015,SJS,3,Springfield,NAHL,New-Hampshire
,24,"Decker, Jackson",So,5-11,165,3/19/1999,"Algonquin, Ill.",Defensemen,71,,,,Chippewa,NAHL,Canisius
,53,"Erne, Lincoln",Jr,6-2,200,9/26/1998,"Blaine, Minn.",Defensemen,74,,,,Minot,NAHL,Canisius
,58,"Hamelin, Derek",Sr,5-11,170,1/21/1997,"Mercier, Que.",Defensemen,71,,,,Canisius,Atlantic,Canisius
,94,"Lambert, Hudson",Jr,6-0,190,8/17/1998,"Richmond Hill, Ont.",Defensemen,72,,,,Brampton,OJHL,Canisius
,4,"Langefels, Keegan",Fr,6-0,185,2/2/2001,"Eden Prairie, Minn.",Defensemen,72,,,,New Mexico,NAHL,Canisius
,77,"Lyons, Jack",So,6-1,205,7/4/1999,"Mississauga, Ont.",Defensemen,73,,,,Oakville,OJHL,Canisius
,15,"Matthews, Joey",Sr,5-10,190,6/24/1997,"Columbia, Ill.",Defensemen,70,,,,Dartmouth,ECAC,Canisius
,5,"Melaragni, David",Jr,6-0,180,3/30/1998,"Philadelphia, Pa.",Defensemen,72,,,,Cowichan Valley,BCHL,Canisius
,37,"Thomas, Cory",Sr,6-5,215,3/19/1998,"St. Brieux, Sask.",Defensemen,77,,,,Vermont,HEA,Canisius
,83,"Alger, Austin",Sr,6-0,170,9/23/1997,"Livonia, Mich.",Forwards,72,,,,Miami,NCHC,Canisius
,71,"Ambrosio, Alex",Sr,5-10,170,3/12/1997,"Burnaby, B.C.",Forwards,70,,,,Coquitlam,BCHL,Canisius
,14,"DiGrande, Daniel",Sr,5-10,180,8/5/1997,"Macomb, Mich.",Forwards,70,,,,Rensselaer,ECAC,Canisius
,89,"Gravel, Simon",Jr,5-10,185,4/10/1999,"Boucherville, Que.",Forwards,70,,,,Brooks,AJHL,Canisius
,23,"Haar, Cooper",So,6-3,205,4/26/1999,"Huntington Beach, Calif.",Forwards,75,,,,Aberdeen,NAHL,Canisius
,20,"Hernandez, Randy",So,6-0,190,1/12/1999,"Miami, Fla.",Forwards,72,,,,Robert Morris,AHA,Canisius
,72,"Kouznetsov, Max",So,5-11,174,12/6/2000,"Voorhees, N.J.",Forwards,71,,,,Johnstown,NAHL,Canisius
,28,"Lapid, Lee",Sr,6-0,165,1/11/1998,"Mississauga, Ont.",Forwards,72,,,,Mississauga,,Canisius
,81,"Martan, Mitchell",Sr,5-8,185,6/30/1998,"Whitby, Ont.",Forwards,68,,,,Canisius,Atlantic,Canisius
,8,"Mastrodonato, Keaton",Jr,6-0,205,9/24/2000,"Powell River, B.C.",Forwards,72,,,,Alberni Valley,BCHL,Canisius
,91,"McDermott, Alton",Fr,5-10,170,6/4/2001,"Oakville, Ont.",Forwards,70,,,,Oakville,OJHL,Canisius
,27,"Miotto, Ryan",Jr,6-0,185,7/11/1999,"Thorold, Ont.",Forwards,72,,,,Canisius,AHA,Canisius
,10,"Parody, Nick",Jr,6-3,195,1/2/1998,"Harrisburg, Pa.",Forwards,75,,,,Islanders,USPHL,Canisius
,9,"Pogue, J.D.",Sr,6-1,185,6/28/1998,"Montréal, Que.",Forwards,73,,,,Cornwall,CCHL,Canisius
,40,"Puikkonen, Niclas",So,6-1,198,1/23/1999,"Stockholm, Sweden",Forwards,73,,,,Amarillo,NAHL,Canisius
,25,"Vermaeten, Matt",Fr,5-10,165,1/4/2001,"Ottawa, Ont.",Forwards,70,,,,Shreveport,NAHL,Canisius
,12,"Witkowski, Jake",Sr,5-10,180,6/23/1999,"Melrose, Mass.",Forwards,70,,,,Boston University,HEA,Canisius
,44,"Zilisch, Connor",So,6-1,205,8/7/1999,"Appleton, Wis.",Forwards,73,,,,Topeka,NAHL,Canisius
,30,"Barczewski, Jake",Jr,6-1,175,1/7/1999,"O'Fallon, Mo.",Goaltenders,73,,,,Canisius,AHA,Canisius
,29,"Hawthorne, John",Jr,6-2,190,9/2/1998,"Chemainus, B.C.",Goaltenders,74,,,,Northern Michigan,CCHA,Canisius
,85,"Houston, Alex",Fr,6-2,190,3/21/2002,"Canton, Ohio",Goaltenders,74,,,,Cornwall,CCHL,Canisius
,33,"Ladd, Matt",Jr,6-3,200,7/11/1998,"Getzville, N.Y.",Goaltenders,75,,,,Canisius,AHA,Canisius
,85,"Zurat, Jake",Sr,5-10,195,11/23/1998,"East Amherst, N.Y.",Goaltenders,70,,,,Williamsville H.S.,,Canisius
,3,"Beaune, Jake",Fr,6-3,195,6/13/2000,"Livonia, Mich.",Defensemen,75,,,,Lincoln,USHL,Mercyhurst
,5,"Bevilacqua, Michael (C)",Sr,6-1,220,5/7/1997,"Hamburg*, N.Y.",Defensemen,73,,,,Green Bay,USHL,Mercyhurst
,7,"Daniels, Devon",Sr,6-1,181,4/28/1998,"Thunder Bay, Ont.",Defensemen,73,,,,Ottawa Jr. Senators,CCHL,Mercyhurst
,15,"Geregach, Dustin",Fr,6-0,181,11/14/2001,"McKees Rocks, Pa.",Defensemen,72,,,,Johnstown,NAHL,Mercyhurst
,98,"Head, Wyatt",So,6-1,180,3/28/1999,"Kelowna, B.C.",Defensemen,73,,,,Alaska-Anchorage,WCHA,Mercyhurst
,25,"Maziarz, Joseph",Jr,5-11,190,2/23/1999,"Waterloo, Ont.",Defensemen,71,,,,North York,OJHL,Mercyhurst
,28,"McDougall, Josh (C)",Sr,5-10,170,6/19/1998,"Prince Albert, Sask.",Defensemen,70,,,,Nipawin,SJHL,Mercyhurst
,8,"Norton, Owen",Sr,5-9,161,6/19/1998,"Ancaster, Ont.",Defensemen,69,,,,Surrey ,BCHL,Mercyhurst
,4,"Townend, Cade",Jr,6-1,201,6/17/1999,"Carleton Place, Ont.",Defensemen,73,,,,Mercyhurst,AHA,Mercyhurst
,23,"Bendorf, Jonathan",Jr,5-11,188,2/26/1999,"Yardville, N.J.",Forwards,71,,,,Mercyhurst,AHA,Mercyhurst
,6,"Briere, Carson",So,5-9,183,9/23/1999,"Philadelphia, Pa.",Forwards,69,,,,Trail,BCHL,Mercyhurst
,21,"Burns, Mickey",So,5-9,175,4/3/2000,"Wayne, N.J.",Forwards,69,,,,Vermont,HEA,Mercyhurst
,26,"Crawford, Pierce",Sr,5-9,175,6/23/1997,"Park Ridge, Ill.",Forwards,69,,,,Notre Dame,B10,Mercyhurst
,19,"Dahm, Garrett",So,6-1,175,6/29/2000,"Belleville, Ill.",Forwards,73,,,,Youngstown,USHL,Mercyhurst
,14,"Feduolov, Gueorgui",Jr,5-9,195,12/10/1998,"Mentor, Ohio",Forwards,69,,,,Shreveport,NAHL,Mercyhurst
,22,"Head, Kyler",Fr,6-4,210,7/13/1999,"Malone, N.Y.",Forwards,76,,,,New Jersey,NAHL,Mercyhurst
,12,"Heidemann, Austin",So,6-0,190,6/27/1999,"Maple Grove, Minn.",Forwards,72,,,,Mercyhurst,AHA,Mercyhurst
,18,"Hunter, Dalton (C)",Sr,6-3,201,9/26/1997,"Greensburg, Pa.",Forwards,75,,,,Dubuque,USHL,Mercyhurst
,11,"Ipri, Steven (C)",Sr,5-11,154,3/13/1998,"Broadview Heights, Ohio",Forwards,71,,,,Lone Star,NAHL,Mercyhurst
,34,"Kane, Noah",So,5-11,180,11/27/1999,"Buffalo, N.Y.",Forwards,71,,,,Mercyhurst,AHA,Mercyhurst
,10,"Kitt, Geoff (C)",Sr,6-3,179,2/9/1997,"Dryden, Ont.",Forwards,75,,,,Carleton Place,CCHL,Mercyhurst
,13,"Maust, Paul",Jr,5-10,165,6/24/1998,"Butler, Pa.",Forwards,70,,,,Mercyhurst,AHA,Mercyhurst
,24,"Reifenberger, Marko",So,6-0,190,1/19/1999,"Hastings, Minn.",Forwards,72,,,,Minnesota,NAHL,Mercyhurst
,38,"Sheriff, Dante",So,5-11,176,8/4/1999,"Brampton, Ont.",Forwards,71,,,,Austin,NAHL,Mercyhurst
,27,"Spagnuolo, Dante",Jr,5-11,178,9/4/1998,"Newmarket, Ont.",Forwards,71,,,,Toronto,OJHL,Mercyhurst
,37,"St. Onge, Rylee",Jr,5-11,185,4/22/1998,"St. Catharines, Ont.",Forwards,71,,,,Mercyhurst,AHA,Mercyhurst
,20,"Stewart, Keanan",So,6-3,187,4/29/2000,"Elmira, Ont.",Forwards,75,,,,Burlington,OJHL,Mercyhurst
,2,"Waugh, Philip",So,6-4,217,1/10/2000,"McLean, Va.",Forwards,76,,,,Brooks,AJHL,Mercyhurst
,29,"Johnson, Hank",Sr,6-1,175,1/10/1996,"Minneapolis, Minn.",Goaltenders,73,,,,Bemidji State,WCHA,Mercyhurst
,1,"Lenz, Matt",Fr,5-11,170,6/2/1999,"Calgary, Alb.",Goaltenders,71,,,,Steinbach,MJHL,Mercyhurst
,31,"McClellan, Kyle",So,6-1,185,3/18/1999,"Manchester, Mo.",Goaltenders,73,,,,Omaha,USHL,Mercyhurst
,6,"Boucher, Tyrell",So,6-1,185,6/3/1999,"Grande Prairie, Alb.",Defensemen,73,,,,Alaska-Anchorage,WCHA,Northern-Michigan
,2,"Cosgrove, Trevor",Sr,6-0,194,6/4/1997,"Exeter, N.H.",Defensemen,72,,,,Colgate,ECAC,Northern-Michigan
,5,"Enns, Colby",Jr,6-2,201,9/16/1999,"Minot, N.D.",Defensemen,74,,,,Central Illinois,USHL,Northern-Michigan
,8,"Erkkila, Tim",So,6-1,185,11/16/2000,"Brighton, Mich.",Defensemen,73,,,,Fairbanks,NAHL,Northern-Michigan
,21,"Hanson, Bo",Sr,6-2,205,11/13/1997,"Boise, Idaho",Defensemen,74,,,,St. Lawrence,ECAC,Northern-Michigan
,10,"Newhouse, Ben",Sr,5-8,174,1/2/1997,"Edina, Minn.",Defensemen,68,,,,Union,ECAC,Northern-Michigan
,23,"Peterson, Jakob",Fr,6-3,172,4/18/2002,"Marquette, Mich.",Defensemen,75,,,,Amarillo,NAHL,Northern-Michigan
,4,"Van Unen, Michael",Jr,6-1,190,2/26/1999,"Kamloops, B.C.",Defensemen,73,,,,Merritt,BCHL,Northern-Michigan
,26,"Vescio, Tanner",Jr,6-2,195,4/14/1998,"Blaine, Minn.",Defensemen,74,,,,Fargo,USHL,Northern-Michigan
,27,"Byers, Mack",So,5-11,172,2/8/1999,"Long Lake, Minn.",Forwards,71,,,,Aberdeen,NAHL,Northern-Michigan
,13,"Colella, Michael",So,5-7,155,6/12/1999,"Wenonah, N.J.",Forwards,67,,,,Trail,BCHL,Northern-Michigan
,16,"Crone, Hank",Sr,5-9,152,2/19/1998,"Dallas, Texas",Forwards,69,,,,Denver,NCHC,Northern-Michigan
,14,"de Mey, Vincent",Sr,6-1,188,11/26/1997,"Los Angeles, Calif.",Forwards,73,,,,Muskegon,USHL,Northern-Michigan
,24,"Eriksson, Hampus",Sr,6-6,211,9/11/1996,"Forsbacka, Sweden",Forwards,78,,,,Fairbanks,NAHL,Northern-Michigan
,28,"Frye, Alex",Jr,6-0,175,7/27/1998,"Clarkston, Mich.",Forwards,72,,,,Alaska-Anchorage,WCHA,Northern-Michigan
,29,"Funk, Reilly",Fr,6-3,194,12/23/2000,"Portage, Man.",Forwards,75,,,,Youngstown,USHL,Northern-Michigan
,17,"Geschwind, Oscar",Fr,6-0,190,2/24/2001,"Karlstad, Sweden",Forwards,72,,,,Northern Michigan,CCHA,Northern-Michigan
,11,"Ghantous, Andre",Jr,5-9,170,12/7/1998,"Glendale, Calif.",Forwards,69,,,,Penticton,BCHL,Northern-Michigan
,22,"Jungels, Jett",So,5-8,165,7/14/2000,"Edina, Minn.",Forwards,68,,,,Edina,USHS,Northern-Michigan
,7,"Keefer, David",Sr,5-10,195,10/21/1997,"Brighton, Mich.",Forwards,70,,,,Michigan State,Big Ten,Northern-Michigan
,20,"Klee, Garrett",Sr,6-1,183,4/11/1998,"Morrison, Colo.",Forwards,73,,,,Waterloo,USHL,Northern-Michigan
,9,"Malcolmson, Ian",So,5-10,165,1/29/1999,"Waukesha, Wis.",Forwards,70,,,,Sioux Falls,USHL,Northern-Michigan
,12,"Marritt, Connor",So,6-1,174,3/14/1999,"Kelowna, B.C.",Forwards,73,,,,Northern Michigan,CCHA,Northern-Michigan
,18,"Nardi, Joseph",Sr,5-10,178,6/1/1997,"Edmonton, Alb.",Forwards,70,,,,Whitecourt,AJHL,Northern-Michigan
